Year,Gender,Population,Employment_Rate
3619,M,17525.5,
3660,M,17738.7,
3701,M,17952.8,
3741,M,18166.1,
3777,M,18360.8,
3811,M,18539.3,
3863,M,18825.5,
3917,M,19127.5,
3977,M,19442.2,
4030,M,19708.0,
4082,M,19978.3,
4138,M,20268.5,
4185,M,20500.6,
4230,M,20728.3,
4279,M,20988.9,
4323,M,21221.6,
4360,M,21400.8,
4393,M,21573.1,
4418,M,21698.6,
4450,M,21886.2,
4478,M,22035.4,
4508,M,22198.3,
4526,M,22272.5,
4540,M,22361.9,
4547,M,22402.9,
4550,M,22424.1,
4551,M,22428.9,
4552,M,22435.2,
4553,M,22440.2,
4554,M,22439.7,
4555,M,22442.4,
4557,M,22458.0,
4558,M,22476.5,
4560,M,22478.8,
4562,M,22494.9,
3619,F,18666.8,
3660,F,18869.5,
3701,F,19061.5,
3741,F,19244.3,
3777,F,19410.9,
3811,F,19580.2,
3863,F,19806.2,
3917,F,20052.3,
3977,F,20333.2,
4030,F,20593.3,
4082,F,20846.2,
4138,F,21118.5,
4185,F,21356.2,
4230,F,21575.5,
4279,F,21806.2,
4323,F,22017.7,
4360,F,22205.0,
4393,F,22357.3,
4418,F,22483.5,
4450,F,22617.5,
4478,F,22749.6,
4508,F,22881.7,
4526,F,22987.7,
4540,F,23045.2,
4547,F,23073.2,
4550,F,23080.8,
4551,F,23084.6,
4552,F,23090.0,
4553,F,23098.7,
4554,F,23103.2,
4555,F,23107.9,
4557,F,23118.2,
4558,F,23112.9,
4560,F,23128.5,
4562,F,23133.5,
