Year,Average_Rental_Price_Index
2003,55.157160680000004
2004,53.00882487333333
2005,50.48971327500001
2006,54.066263542499996
2007,58.72762059916667
2008,62.4004421225
2009,62.648411604166675
2010,67.37402371416667
2011,73.7625248775
2012,76.2213874625
2013,79.16751584000001
2014,83.7955730625
2015,87.99193080166667
2016,91.95006320333334
2017,93.68762937666666
2018,94.7622003325
2019,93.85609082166667
2020,95.92245112916667
2021,100.46511704749999
2022,101.55315126416667
2023,90.25002437416667
2024,92.213368651
